year,average_tas_c
2013,-13.160340926226418
2014,-6.581464296228726
2015,-7.393004548315884
2016,-6.550738076602684
2017,-5.7714338564404954
2018,-6.200039194144428
2019,-7.555986606373485
2020,-5.7798831116919205
2021,-5.953547040153926
2022,-7.076430122525063
2023,-9.614470089183115
2024,-7.0756963991651105
2025,-8.957453858618623
2026,-6.13016487570367
2027,-6.090971748501626
2028,-5.4818186741248995
2029,-8.01434641819372
2030,-7.857364101035901
2031,-5.98965808644012
2032,-5.635983949549039
2033,-7.016123573452795
2034,-8.533458006615705
2035,-6.315688353893781
2036,-4.2775908227060215
2037,-4.1442099328134345
2038,-3.35197348501166
2039,-4.925549211689041
2040,-5.600346898097598
2041,-4.026569860121763
2042,-5.3942976409313514
2043,-6.1818442101571875
2044,-4.083510305367251
2045,-2.238513572543255
2046,-2.1980910058114866
2047,-2.5196391386144086
2048,-3.1609178730085623
2049,-4.749554742551301
2050,-3.2269884296491775
2051,-1.6836580613079992
2052,-2.6969031090829723
2053,-1.814398836622028
2054,-0.4977390364104461
2055,-2.5769373426250155
2056,-3.0197589799469333
2057,-3.01531162635951
2058,-3.103837286257255
2059,-2.5831399655809313
2060,-2.2913745724777073
2061,-3.0701616175034254
2062,-1.3763214111327973
2063,1.5407393768054314
