date,year,month,average_tas_c
2014-01-13,2014,Jan,-8.461812210082996
2014-02-13,2014,Feb,-1.0728458404540788
2014-03-15,2014,Mar,0.21022682189942543
2014-04-15,2014,Apr,0.30889015197755043
2014-05-16,2014,May,-3.010424423217728
2014-06-15,2014,Jun,-8.767789459228482
2014-07-16,2014,Jul,-15.673199081420876
2014-08-15,2014,Aug,-15.285151481628418
2014-09-15,2014,Sep,-30.124485206603993
2014-10-15,2014,Oct,-18.3355976104736
2014-11-13,2014,Nov,-22.61175956726072
2014-12-14,2014,Dec,-14.198252868652332
2015-01-13,2015,Jan,-3.1277397155761264
2015-02-13,2015,Feb,-1.014027023315407
2015-03-15,2015,Mar,0.24622688293459305
2015-04-15,2015,Apr,0.24863624572753906
2015-05-16,2015,May,-1.301428604125931
2015-06-15,2015,Jun,-8.963660049438431
2015-07-16,2015,Jul,-13.754740715026855
2015-08-15,2015,Aug,-13.56438140869136
2015-09-15,2015,Sep,-20.677376556396467
2015-10-15,2015,Oct,-22.92936553955076
2015-11-13,2015,Nov,-24.565118980407703
2015-12-14,2015,Dec,-19.41282520294186
2016-01-13,2016,Jan,-8.154104995727494
2016-02-13,2016,Feb,-0.6570228576659929
2016-03-14,2016,Mar,-0.032948684692371444
2016-04-14,2016,Apr,-0.503050231933571
2016-05-15,2016,May,-1.8349296569824105
2016-06-14,2016,Jun,-7.76730690002438
2016-07-15,2016,Jul,-12.828841781616177
2016-08-14,2016,Aug,-16.29472961425779
2016-09-14,2016,Sep,-24.934027481079085
2016-10-14,2016,Oct,-25.907946395874006
2016-11-12,2016,Nov,-21.12550296783445
2016-12-13,2016,Dec,-19.551532554626448
2017-01-12,2017,Jan,-7.705801773071244
2017-02-12,2017,Feb,-0.8323604583740121
2017-03-14,2017,Mar,0.05622787475590485
2017-04-14,2017,Apr,-0.8741973876952898
2017-05-15,2017,May,-2.787019729614258
2017-06-14,2017,Jun,-9.767359542846634
2017-07-15,2017,Jul,-15.73782405853268
2017-08-14,2017,Aug,-21.61946945190428
2017-09-14,2017,Sep,-13.074583244323719
2017-10-14,2017,Oct,-25.456118011474587
2017-11-12,2017,Nov,-21.761856842041
2017-12-13,2017,Dec,-15.317483520507778
2018-01-12,2018,Jan,-5.87938079833981
2018-02-12,2018,Feb,-0.5685588836669808
2018-03-14,2018,Mar,0.9291816711426009
2018-04-14,2018,Apr,-0.1410480499267237
2018-05-15,2018,May,-2.439329528808571
2018-06-14,2018,Jun,-5.881632614135697
2018-07-15,2018,Jul,-12.902941894531239
2018-08-14,2018,Aug,-16.5568326950073
2018-09-14,2018,Sep,-23.86689109802245
2018-10-14,2018,Oct,-31.06922283172605
2018-11-12,2018,Nov,-26.719657516479458
2018-12-13,2018,Dec,-14.145243835449207
2019-01-12,2019,Jan,-5.310338592529263
2019-02-12,2019,Feb,-0.9499767303466342
2019-03-14,2019,Mar,0.4449634552001953
2019-04-14,2019,Apr,0.42818336486817543
2019-05-15,2019,May,-3.6929550170898438
2019-06-14,2019,Jun,-7.729402542114258
2019-07-15,2019,Jul,-17.614938354492153
2019-08-14,2019,Aug,-15.061079788207962
2019-09-14,2019,Sep,-25.108342552185036
2019-10-14,2019,Oct,-23.26350479125975
2019-11-12,2019,Nov,-20.47260093688962
2019-12-13,2019,Dec,-17.274880409240694
2020-01-12,2020,Jan,-7.105308532714844
2020-02-12,2020,Feb,-1.0697746276855469
2020-03-13,2020,Mar,0.19130401611329262
2020-04-13,2020,Apr,-0.15205726623531746
2020-05-14,2020,May,-1.5240947723388558
2020-06-13,2020,Jun,-7.673906707763649
2020-07-14,2020,Jul,-19.859302330017073
2020-08-13,2020,Aug,-23.234207153320284
2020-09-13,2020,Sep,-25.79074134826658
2020-10-13,2020,Oct,-19.38322029113766
2020-11-11,2020,Nov,-21.821908760070784
2020-12-12,2020,Dec,-11.334115600585903
2021-01-11,2021,Jan,-6.526440048217751
2021-02-11,2021,Feb,-1.4948692321777344
2021-03-13,2021,Mar,0.5261299133301236
2021-04-13,2021,Apr,0.33814048767089844
2021-05-14,2021,May,-2.3500858306884425
2021-06-13,2021,Jun,-9.872664642333973
2021-07-14,2021,Jul,-18.797719573974575
2021-08-13,2021,Aug,-25.369263648986788
2021-09-13,2021,Sep,-23.442274856567366
2021-10-13,2021,Oct,-15.62083301544186
2021-11-11,2021,Nov,-21.484575843811
2021-12-12,2021,Dec,-17.78913536071775
2022-01-11,2022,Jan,-8.595098495483398
2022-02-11,2022,Feb,-1.073449707031216
2022-03-13,2022,Mar,0.11124191284181961
2022-04-13,2022,Apr,-0.5965412139892123
2022-05-14,2022,May,-2.0446178436279183
2022-06-13,2022,Jun,-8.440266418456986
2022-07-14,2022,Jul,-18.672332191467262
2022-08-13,2022,Aug,-22.195283508300747
2022-09-13,2022,Sep,-25.77897796630856
2022-10-13,2022,Oct,-25.63146343231199
2022-11-11,2022,Nov,-26.15416717529294
2022-12-12,2022,Dec,-15.185362625122025
2023-01-11,2023,Jan,-5.957680892944325
2023-02-11,2023,Feb,-0.7229011535644077
2023-03-13,2023,Mar,0.08259277343751137
2023-04-13,2023,Apr,-0.1565093994140625
2023-05-14,2023,May,-2.0474914550781023
2023-06-13,2023,Jun,-8.255809402465786
2023-07-14,2023,Jul,-14.307640838623001
2023-08-13,2023,Aug,-21.804027175903286
2023-09-13,2023,Sep,-27.175283241271956
2023-10-13,2023,Oct,-26.48417949676511
2023-11-11,2023,Nov,-25.300753784179676
2023-12-12,2023,Dec,-16.13899002075192
2024-01-11,2024,Jan,-6.731790924072243
2024-02-11,2024,Feb,-1.001646423339821
2024-03-12,2024,Mar,0.07418212890627274
2024-04-12,2024,Apr,-0.33068923950190765
2024-05-13,2024,May,-1.464394378662064
2024-06-12,2024,Jun,-4.3257167816161655
2024-07-13,2024,Jul,-14.280439567565907
2024-08-12,2024,Aug,-25.04395427703855
2024-09-12,2024,Sep,-29.753400230407692
2024-10-12,2024,Oct,-25.786542701721174
2024-11-10,2024,Nov,-25.56770553588865
2024-12-11,2024,Dec,-19.051774406433083
2025-01-10,2025,Jan,-7.530989837646473
2025-02-10,2025,Feb,-0.9218780517578011
2025-03-12,2025,Mar,0.1655864715576172
2025-04-12,2025,Apr,0.6707782745361328
2025-05-13,2025,May,-1.5255752563476221
2025-06-12,2025,Jun,-6.7920669555663835
2025-07-13,2025,Jul,-10.969297790527321
2025-08-12,2025,Aug,-22.68552875518796
2025-09-12,2025,Sep,-12.296369171142544
2025-10-12,2025,Oct,-14.920507049560513
2025-11-10,2025,Nov,-22.95082359313963
2025-12-11,2025,Dec,-13.693696212768543
2026-01-10,2026,Jan,-7.872921752929642
2026-02-10,2026,Feb,-1.3189510345458757
2026-03-12,2026,Mar,0.22222518920898438
2026-04-12,2026,Apr,0.4178859710693814
2026-05-13,2026,May,-1.1138114929199219
2026-06-12,2026,Jun,-9.123744583129849
2026-07-13,2026,Jul,-12.567954063415527
2026-08-12,2026,Aug,-23.072511672973604
2026-09-12,2026,Sep,-27.98008575439451
2026-10-12,2026,Oct,-23.758817863464344
2026-11-10,2026,Nov,-21.16240825653074
2026-12-11,2026,Dec,-14.931492042541493
2027-01-10,2027,Jan,-5.384800720214798
2027-02-10,2027,Feb,-1.1762252807616846
2027-03-12,2027,Mar,0.5297729492187955
2027-04-12,2027,Apr,1.2520923614501953
2027-05-13,2027,May,0.12466812133789062
2027-06-12,2027,Jun,-5.933483123779297
2027-07-13,2027,Jul,-6.700485610961891
2027-08-12,2027,Aug,-14.399955177307106
2027-09-12,2027,Sep,-14.299341011047318
2027-10-12,2027,Oct,-19.65718307495115
2027-11-10,2027,Nov,-20.989937019348133
2027-12-11,2027,Dec,-9.898618698120117
2028-01-10,2028,Jan,-7.059078216552734
2028-02-10,2028,Feb,-0.4037250518798601
2028-03-11,2028,Mar,0.5632278442383267
2028-04-11,2028,Apr,0.42091941833496094
2028-05-12,2028,May,0.4004505157470817
2028-06-11,2028,Jun,-4.10834617614745
2028-07-12,2028,Jul,-8.17195663452145
2028-08-11,2028,Aug,-19.68912830352781
2028-09-11,2028,Sep,-13.095890045166016
2028-10-11,2028,Oct,-14.88619613647461
2028-11-09,2028,Nov,-15.257034111022904
2028-12-10,2028,Dec,-11.581295204162586
2029-01-09,2029,Jan,-5.381150436401356
2029-02-09,2029,Feb,-0.3718093872070085
2029-03-11,2029,Mar,0.5526302337646598
2029-04-11,2029,Apr,1.0693458557129247
2029-05-12,2029,May,-0.5434474945068359
2029-06-11,2029,Jun,-6.0286247253417855
2029-07-12,2029,Jul,-6.744919204711891
2029-08-11,2029,Aug,-20.891610717773403
2029-09-11,2029,Sep,-10.748384475708008
2029-10-11,2029,Oct,-15.520399475097634
2029-11-09,2029,Nov,-9.99950675964351
2029-12-10,2029,Dec,-9.773808670043934
2030-01-09,2030,Jan,-2.350661849975552
2030-02-09,2030,Feb,0.4494987487793196
2030-03-11,2030,Mar,0.99346923828125
2030-04-11,2030,Apr,1.0879470825195767
2030-05-12,2030,May,-0.388943481445267
2030-06-11,2030,Jun,-5.639109802246082
2030-07-12,2030,Jul,-2.0535411834716797
2030-08-11,2030,Aug,-14.874571228027321
2030-09-11,2030,Sep,-17.393795394897438
2030-10-11,2030,Oct,-22.048712921142567
2030-11-09,2030,Nov,-23.966065406799288
2030-12-10,2030,Dec,-12.473097991943348
2031-01-09,2031,Jan,-6.127426528930641
2031-02-09,2031,Feb,-0.8826816558837436
2031-03-11,2031,Mar,0.5222480773925895
2031-04-11,2031,Apr,0.16647377014163567
2031-05-12,2031,May,-2.416074752807617
2031-06-11,2031,Jun,-10.67517814636227
2031-07-12,2031,Jul,-17.898052597045876
2031-08-11,2031,Aug,-26.427915000915505
2031-09-11,2031,Sep,-31.983041954040516
2031-10-11,2031,Oct,-26.23004112243649
2031-11-09,2031,Nov,-28.38119392395018
2031-12-10,2031,Dec,-14.881632995605457
2032-01-09,2032,Jan,-8.300710296630825
2032-02-09,2032,Feb,-1.8914493560790788
2032-03-10,2032,Mar,0.49465255737305824
2032-04-10,2032,Apr,-0.4920486450195085
2032-05-11,2032,May,-1.5167884826660156
2032-06-10,2032,Jun,-2.8463581085204623
2032-07-11,2032,Jul,-13.635028266906716
2032-08-10,2032,Aug,-15.245566940307583
2032-09-10,2032,Sep,-17.33473873138425
2032-10-10,2032,Oct,-20.733713340759266
2032-11-08,2032,Nov,-19.42749595642087
2032-12-09,2032,Dec,-11.128468704223621
