year,average_tas_c
1898,-20.053809611002578
1899,-7.176942757999174
1900,-8.27238362630206
1901,-8.361109296013296
1902,-11.264183956968992
1903,-9.38288789636946
1904,-12.253698835185908
1905,-9.602958559522413
1906,-9.671952789905005
1907,-11.385714153214977
1908,-12.688317571901779
1909,-10.558736045687782
1910,-12.818100529091007
1911,-11.104518695906068
1912,-10.505738366818873
1913,-9.809254021738068
1914,-14.52992758657416
1915,-11.583979857201646
1916,-10.577254112094039
1917,-8.646785152659676
1918,-10.240829542571399
1919,-10.829945418413926
1920,-9.87359886917411
1921,-10.373667234532952
1922,-11.64123458862303
1923,-10.799159225763034
1924,-10.916588098862574
1925,-9.406949884751235
1926,-10.215715191411014
1927,-10.535337620155458
1928,-10.891456723680664
1929,-12.141557326971297
1930,-9.37619257908238
1931,-8.61364218019969
1932,-7.242109575458573
1933,-8.61938341926124
1934,-12.317661764107472
1935,-11.091561036951374
1936,-9.68569509468824
1937,-8.167902598661511
1938,-10.820742199467661
1939,-10.749306802188633
1940,-10.881125485519457
1941,-8.854219489004068
1942,-6.273502634085848
1943,-7.6851137348249665
1944,-10.647622381472097
1945,-11.466517130533825
1946,-12.870959457696635
1947,-10.369574243882099
1948,-4.714998088163462
