year,average_tas_c
1948,-18.180558731976653
1949,-10.145685352998603
1950,-8.507709772446555
1951,-7.797228914148637
1952,-9.171351533777559
1953,-9.466610194187522
1954,-10.068148145488642
1955,-10.038047551173769
1956,-9.336066002939239
1957,-11.264518274045429
1958,-10.210360957126973
1959,-9.134562413832695
1960,-6.967867129456745
1961,-7.134423947801753
1962,-9.658184679816735
1963,-12.750228433048003
1964,-13.12621470432653
1965,-8.66744730332317
1966,-10.846450072643778
1967,-10.394002069211448
1968,-8.764279668471376
1969,-7.036179277008642
1970,-6.666924764595753
1971,-8.885419254676952
1972,-6.431058846267973
1973,-7.740200461593308
1974,-7.287496290019898
1975,-8.045985966102725
1976,-7.185689993465627
1977,-6.5141413520363995
1978,-8.12166380040784
1979,-9.92565066767672
1980,-8.032517885694292
1981,-7.680397243125739
1982,-9.752320891735579
1983,-7.724877106909642
1984,-10.04151925479662
1985,-6.640755791757594
1986,-7.981830746519776
1987,-5.133535901237916
1988,-7.16413204716698
1989,-9.478038279215474
1990,-10.721811137479868
1991,-11.21612224204865
1992,-9.490917220770124
1993,-10.445582790000744
1994,-8.705482991536433
1995,-10.592409515380837
1996,-9.642812511967662
1997,-7.215989041795891
1998,-6.092285492840922
